"Name the world's biggest island.","Greenland"
"Where would you find the Sea of Tranquility?","The Moon"
"What is the flattest U.S. state?","Florida"
"Name the largest freshwater lake in the world?","Lake Superior"
"What is the world's longest river?","Amazon"
"Name the world's largest ocean.","Pacific"
"What is Earth's largest continent?","Asia"
"Which U.S. state has the most active volcanoes?","Alaska"
